Source,Target,Type
1129339049603244032,10,Undirected
1129613324046491648,14,Undirected
1129690999737933824,12,Undirected
1127155658254573568,10,Undirected
1128096256092397568,11,Undirected
1129551134006267904,10,Undirected
1128555513032003584,11,Undirected
1129700759455408128,12,Undirected
1129701146388361216,10,Undirected
1128049711733137409,10,Undirected
1129656464287469569,12,Undirected
1129693514348941312,12,Undirected
1127537834913517568,12,Undirected
1128463913270546432,10,Undirected
1128042131145158656,12,Undirected
1129716439986786304,10,Undirected
1130236577475571712,11,Undirected
1128959974393040896,10,Undirected
1128988821960310791,10,Undirected
1129688430797942784,10,Undirected
1128965804458819585,11,Undirected
1129561060757794817,12,Undirected
1130339933183328257,11,Undirected
1130007926343577600,11,Undirected
1129903712103624704,12,Undirected
1127377204734599169,12,Undirected
1129896648006520834,12,Undirected
1128848962155270144,11,Undirected
1130262723810344962,13,Undirected
1129904561710174208,10,Undirected
1128996917298360320,14,Undirected
1129720345689088000,12,Undirected
1129684120907395073,10,Undirected
1128880071526109187,12,Undirected
1129551477813403648,12,Undirected
1129762038807453696,10,Undirected
1127808737354309632,14,Undirected
1127370452949581824,10,Undirected
1129726526411427856,12,Undirected
1128444632755363840,11,Undirected
1129679248803819520,13,Undirected
1128902914385170432,10,Undirected
1128980879483723776,10,Undirected
1129688227089010689,14,Undirected
1129503053130764290,12,Undirected
1129704125724127232,13,Undirected
1130270395905429505,11,Undirected
1127856977843875840,14,Undirected
